Round,Micro mAP,Macro mAP,Pruning Mask Round,Pruning Rate
1,0.3121,,,
1,,0.2963,,
2,0.4253,,,
2,,0.3384,,
3,0.4598,,,
3,,0.3094,,
4,0.2963,,4,0.5
4,,0.2702,4,0.5
5,0.4722,,4,0.5
5,,0.3031,4,0.5
6,0.5657,,4,0.5
6,,0.3152,4,0.5
7,0.5304,,4,0.5
7,,0.3092,4,0.5
8,0.6328,,4,0.5
8,,0.3715,4,0.5
9,0.5951,,4,0.5
9,,0.3448,4,0.5
10,0.6393,,4,0.5
10,,0.379,4,0.5
11,0.5432,,4,0.5
11,,0.3593,4,0.5
12,0.5857,,4,0.5
12,,0.3923,4,0.5
13,0.6466,,4,0.5
13,,0.3942,4,0.5
14,0.7157,,4,0.5
14,,0.4335,4,0.5
15,0.6738,,4,0.5
15,,0.4091,4,0.5
16,0.7379,,4,0.5
16,,0.4343,4,0.5
17,0.688,,4,0.5
17,,0.4216,4,0.5
18,0.7494,,4,0.5
18,,0.4546,4,0.5
19,0.7237,,4,0.5
19,,0.4401,4,0.5
20,0.7522,,4,0.5
20,,0.4659,4,0.5
